date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:19	31711/31711	---M-Z	200	added ('OK')	text/html	etag:%221b014d7-7bdf-5ee23452c2765-gzip%22	http://shrihariinfo.com/	E:/watch/new/shrihariinfo.com/index.html	(from )
19:40:29	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202023%2014:10:18%20GMT	http://shrihariinfo.com/robots.txt		(from )
19:40:30	1636/1636	---M--	200	added ('OK')	image/svg+xml	etag:%221b0149b-664-5ee22095521cc%22	http://shrihariinfo.com/img/favicon.svg	E:/watch/new/shrihariinfo.com/img/favicon.svg	(from http://shrihariinfo.com/)
19:40:33	36719/36719	---M-Z	200	added ('OK')	text/css	etag:%221b0157b-8f6f-5edbd59a2da00-gzip%22	http://shrihariinfo.com/css/style.css?t=35	E:/watch/new/shrihariinfo.com/css/style06da.css	(from http://shrihariinfo.com/)
19:40:35	228177/228177	---M-Z	200	added ('OK')	text/css	etag:%221b01578-37b51-57fdd8d240000-gzip%22	http://shrihariinfo.com/css/plugins.css	E:/watch/new/shrihariinfo.com/css/plugins.css	(from http://shrihariinfo.com/)
19:40:36	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202023%2014:10:36%20GMT	http://shrihariinfo.com/oss.maxcdn.com/html5shiv/3.7.2/html5shiv.min.js	E:/watch/new/shrihariinfo.com/oss.maxcdn.com/html5shiv/3.7.2/html5shiv.min.3.delayed	(from http://shrihariinfo.com/)
19:40:38	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202023%2014:10:37%20GMT	http://shrihariinfo.com/oss.maxcdn.com/respond/1.4.2/respond.min.js	E:/watch/new/shrihariinfo.com/oss.maxcdn.com/respond/1.4.2/respond.min.js	(from http://shrihariinfo.com/)
19:40:40	14441/14441	---M--	200	added ('OK')	image/svg+xml	etag:%221b014d4-3869-5ee23138268f1%22	http://shrihariinfo.com/img/SHI_W.svg	E:/watch/new/shrihariinfo.com/img/SHI_W.svg	(from http://shrihariinfo.com/)
19:40:41	14444/14444	---M--	200	added ('OK')	image/svg+xml	etag:%221b0149d-386c-5ee23138176c0%22	http://shrihariinfo.com/img/SHI_B.svg	E:/watch/new/shrihariinfo.com/img/SHI_B.svg	(from http://shrihariinfo.com/)
19:40:42	24554/24554	---M--	200	added ('OK')	image/png	etag:%221b015c9-5fea-57f87df3a3680%22	http://shrihariinfo.com/img/top1.png	E:/watch/new/shrihariinfo.com/img/top1.png	(from http://shrihariinfo.com/)
19:40:43	17864/17864	---M--	200	added ('OK')	image/jpeg	etag:%221b01589-45c8-594419029d900%22	http://shrihariinfo.com/img/appily.jpg	E:/watch/new/shrihariinfo.com/img/appily.jpg	(from http://shrihariinfo.com/)
19:40:43	10993/10993	---M--	200	added ('OK')	image/jpeg	etag:%221b015cf-2af1-5944170372300%22	http://shrihariinfo.com/img/atg.jpg	E:/watch/new/shrihariinfo.com/img/atg.jpg	(from http://shrihariinfo.com/)
19:40:45	10587/10587	---M--	200	added ('OK')	image/jpeg	etag:%221b01605-295b-5944175d17680%22	http://shrihariinfo.com/img/ghazi.jpg	E:/watch/new/shrihariinfo.com/img/ghazi.jpg	(from http://shrihariinfo.com/)
